order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,173,2,271.78,543.56
2,1,14,1,147.88,147.88
3,1,99,2,428.56,857.12
4,1,120,3,108.18,324.54
5,1,11,2,171.24,342.48
6,2,45,3,481.04,1443.12
7,2,144,3,120.51,361.53
8,2,18,3,33.9,101.7
9,3,36,2,87.1,174.2
10,3,62,3,14.45,43.35
11,4,167,2,246.35,492.7
12,5,180,1,108.42,108.42
13,5,193,3,474.2,1422.6
14,5,195,1,393.88,393.88
15,5,83,2,495.17,990.34
16,5,69,3,202.15,606.45
17,6,71,1,379.31,379.31
18,6,17,2,350.9,701.8
19,6,89,2,42.16,84.32
20,6,125,3,276.18,828.54
21,7,32,2,369.62,739.24
22,7,182,3,412.51,1237.53
23,7,174,3,442.44,1327.32
24,7,75,2,474.18,948.36
25,7,159,2,476.8,953.6
26,8,49,2,411.77,823.54
27,9,21,2,63.64,127.28
28,10,74,1,387.72,387.72
29,10,28,1,289.95,289.95
30,11,29,3,334.43,1003.29
31,11,38,2,173.66,347.32
32,11,39,1,126.96,126.96
33,12,161,1,364.9,364.9
34,12,76,2,91.53,183.06
35,12,175,3,50.43,151.29
36,12,34,2,435.4,870.8
37,12,89,2,42.16,84.32
38,13,189,3,312.14,936.42
39,13,6,2,143.75,287.5
40,13,49,1,411.77,411.77
41,13,6,1,143.75,143.75
42,14,166,2,19.0,38.0
43,14,106,3,74.35,223.05
44,14,88,3,197.97,593.91
45,14,166,2,19.0,38.0
46,14,125,3,276.18,828.54
47,15,141,2,307.58,615.16
48,15,118,2,364.97,729.94
49,15,146,1,329.24,329.24
50,15,79,1,242.05,242.05
51,15,67,1,221.8,221.8
52,16,96,2,239.58,479.16
53,16,198,1,333.8,333.8
54,16,38,2,173.66,347.32
55,16,73,2,95.14,190.28
56,17,159,1,476.8,476.8
57,17,183,3,30.18,90.54
58,18,47,1,440.75,440.75
59,18,182,3,412.51,1237.53
60,18,171,1,471.21,471.21
61,19,61,1,194.58,194.58
62,19,11,2,171.24,342.48
63,20,33,2,265.42,530.84
64,20,67,2,221.8,443.6
65,20,48,1,12.52,12.52
66,20,144,3,120.51,361.53
67,20,9,3,427.57,1282.71
68,21,89,1,42.16,42.16
69,21,96,2,239.58,479.16
70,21,139,1,10.6,10.6
71,22,78,1,357.2,357.2
72,22,7,2,243.57,487.14
73,22,128,1,54.67,54.67
74,22,118,2,364.97,729.94
75,22,40,1,465.74,465.74
76,23,130,2,232.31,464.62
77,23,166,3,19.0,57.0
78,23,76,2,91.53,183.06
79,23,75,3,474.18,1422.54
80,23,171,1,471.21,471.21
81,24,187,2,449.15,898.3
82,24,87,3,301.25,903.75
83,24,29,3,334.43,1003.29
84,24,123,1,285.75,285.75
85,24,36,3,87.1,261.3
86,25,30,2,276.45,552.9
87,25,7,2,243.57,487.14
88,25,159,1,476.8,476.8
89,25,115,2,226.73,453.46
90,25,24,2,40.14,80.28
91,26,156,3,363.72,1091.16
