order_id,customer_id,order_date,order_status
1,21,2023-10-26,completed
2,407,2023-07-25,completed
3,619,2023-10-01,completed
4,336,2023-09-17,completed
5,815,2023-12-21,completed
6,117,2023-08-03,completed
7,124,2023-10-06,completed
8,399,2023-01-19,completed
9,793,2023-07-04,completed
10,804,2023-12-26,completed
11,715,2023-10-02,completed
12,51,2023-11-01,completed
13,783,2023-11-23,completed
14,324,2023-02-13,completed
15,789,2023-02-25,completed
16,141,2023-05-08,completed
17,470,2023-12-03,completed
18,787,2023-12-07,completed
19,802,2023-07-01,completed
20,334,2023-03-27,completed
21,893,2023-11-28,pending
22,964,2023-11-10,completed
23,373,2023-01-23,completed
24,564,2023-10-16,completed
25,494,2023-11-27,completed
26,539,2023-12-13,completed
27,669,2023-11-28,completed
28,751,2023-07-24,completed
29,156,2023-06-19,completed
30,291,2023-08-09,completed
31,648,2023-02-24,completed
32,144,2023-01-06,completed
33,106,2023-02-20,completed
34,420,2023-05-13,cancelled
35,670,2023-04-24,completed
36,658,2023-09-19,pending
37,2,2023-09-23,completed
38,945,2023-10-13,completed
39,589,2023-10-25,completed
40,644,2023-12-19,completed
41,90,2023-10-22,completed
42,345,2023-04-24,completed
43,350,2023-08-17,completed
44,459,2023-07-11,pending
45,263,2023-07-20,completed
46,351,2023-08-26,completed
47,108,2023-12-14,completed
48,586,2023-10-29,completed
49,39,2023-12-20,completed
50,909,2023-09-14,completed
51,159,2023-03-19,pending
52,583,2023-06-26,completed
53,959,2023-01-13,completed
54,312,2023-09-05,completed
55,241,2023-02-23,cancelled
56,938,2023-06-01,completed
57,445,2023-08-01,completed
58,298,2023-02-13,completed
59,952,2023-03-01,completed
60,36,2023-03-14,completed
61,84,2023-06-28,completed
62,452,2023-06-09,completed
63,886,2023-06-25,completed
64,775,2023-08-22,completed
65,822,2023-04-16,completed
66,385,2023-09-24,completed
67,172,2023-09-05,completed
68,376,2023-06-28,completed
69,685,2023-09-01,completed
70,362,2023-02-19,completed
71,559,2023-08-13,completed
72,891,2023-12-23,pending
73,141,2023-08-20,completed
74,887,2023-06-13,completed
75,918,2023-02-04,completed
76,118,2023-06-03,completed
77,277,2023-01-23,completed
78,726,2023-12-30,completed
79,220,2023-02-28,completed
80,905,2023-01-12,completed
81,26,2023-06-25,completed
82,521,2023-11-28,completed
83,783,2023-02-25,completed
84,10,2023-12-13,completed
85,984,2023-03-26,pending
86,378,2023-05-05,cancelled
87,633,2023-09-22,completed
88,637,2023-03-31,completed
89,682,2023-10-10,completed
90,584,2023-03-23,completed
91,152,2023-06-19,completed
92,720,2023-10-14,completed
93,49,2023-08-07,completed
94,154,2023-08-25,completed
95,859,2023-04-29,completed
96,293,2023-07-27,completed
97,580,2023-11-19,completed
98,50,2023-04-05,completed
99,664,2023-04-06,refunded
100,531,2023-11-24,completed
101,612,2023-12-03,completed
102,60,2023-08-10,pending
103,167,2023-07-22,refunded
104,202,2023-01-15,completed
105,857,2023-11-11,completed
106,146,2023-04-12,completed
107,915,2023-08-19,completed
108,676,2023-10-31,completed
109,970,2023-08-08,completed
110,993,2023-07-19,completed
111,439,2023-01-03,completed
112,242,2023-12-27,completed
113,581,2023-04-20,completed
114,687,2023-04-16,completed
115,561,2023-05-23,completed
116,483,2023-12-27,completed
117,108,2023-02-02,completed
118,226,2023-10-23,completed
119,673,2023-02-22,pending
120,631,2023-10-02,completed
121,661,2023-04-06,completed
122,977,2023-07-07,completed
123,662,2023-06-16,completed
124,432,2023-04-11,completed
125,805,2023-08-23,completed
126,655,2023-02-28,completed
127,419,2023-05-15,completed
128,988,2023-12-10,completed
129,455,2023-09-08,completed
130,160,2023-09-28,completed
131,523,2023-11-24,cancelled
132,650,2023-06-10,completed
133,969,2023-11-02,completed
134,590,2023-07-18,completed
135,77,2023-11-09,completed
136,509,2023-07-20,completed
137,441,2023-10-28,completed
138,254,2023-02-28,completed
139,921,2023-06-28,completed
140,770,2023-06-30,completed
141,320,2023-08-23,completed
142,803,2023-11-13,completed
143,263,2023-03-30,completed
144,597,2023-12-11,completed
145,658,2023-12-28,completed
146,835,2023-06-02,completed
147,554,2023-11-11,completed
148,374,2023-10-30,completed
149,637,2023-02-13,completed
150,167,2023-12-11,pending
151,937,2023-03-10,completed
152,753,2023-06-10,completed
153,459,2023-03-02,completed
154,999,2023-05-03,completed
155,280,2023-06-06,completed
156,700,2023-03-01,completed
157,302,2023-04-04,completed
158,531,2023-07-11,completed
159,580,2023-12-22,completed
160,218,2023-03-14,completed
161,102,2023-09-19,pending
162,554,2023-07-18,completed
163,288,2023-08-03,completed
164,167,2023-11-02,completed
165,621,2023-03-12,completed
166,36,2023-10-22,completed
167,744,2023-07-16,completed
168,741,2023-08-05,completed
169,353,2023-04-06,completed
170,676,2023-09-07,completed
171,899,2023-11-22,completed
172,73,2023-10-03,completed
173,648,2023-12-22,cancelled
174,353,2023-11-27,completed
175,891,2023-03-30,completed
176,70,2023-10-12,completed
177,425,2023-03-27,cancelled
178,999,2023-09-08,completed
179,708,2023-05-28,completed
180,781,2023-03-13,completed
181,561,2023-04-06,completed
182,828,2023-06-11,completed
183,642,2023-08-19,completed
184,956,2023-11-14,refunded
185,517,2023-01-28,completed
186,428,2023-07-03,completed
187,539,2023-01-05,completed
188,160,2023-09-06,completed
189,149,2023-03-11,pending
190,776,2023-04-10,completed
191,230,2023-07-16,completed
192,712,2023-10-15,completed
193,562,2023-09-16,completed
194,67,2023-12-01,completed
195,812,2023-09-11,completed
196,381,2023-07-29,completed
197,58,2023-12-17,cancelled
198,259,2023-09-09,completed
199,342,2023-08-01,cancelled
200,838,2023-12-30,completed
201,130,2023-08-16,completed
202,727,2023-09-08,completed
203,172,2023-03-27,completed
204,770,2023-02-12,completed
205,614,2023-10-17,completed
206,209,2023-01-16,completed
207,803,2023-04-23,completed
208,354,2023-05-30,completed
209,471,2023-01-17,completed
210,798,2023-05-21,completed
211,116,2023-04-26,completed
212,264,2023-10-03,completed
213,662,2023-05-28,completed
214,812,2023-03-28,pending
215,442,2023-08-23,completed
216,548,2023-10-17,completed
217,453,2023-09-11,completed
218,845,2023-10-09,completed
219,477,2023-09-19,completed
220,287,2023-02-27,completed
221,303,2023-10-21,pending
222,311,2023-02-28,completed
223,208,2023-05-18,completed
224,618,2023-10-06,completed
225,446,2023-07-07,completed
226,670,2023-10-05,completed
227,633,2023-01-22,completed
228,55,2023-08-14,completed
229,912,2023-10-07,cancelled
230,12,2023-04-22,completed
231,657,2023-08-06,completed
232,400,2023-02-22,completed
233,908,2023-12-01,completed
